Date,ClosePrice
2015-07-27,26.5705
2015-07-24,26.471
2015-07-23,24.109
2015-07-22,24.4135
2015-07-21,24.4
2015-07-20,24.405
2015-07-17,24.1505
2015-07-16,23.774
2015-07-15,23.0595
2015-07-14,23.2785
2015-07-13,22.7785
2015-07-10,22.1755
2015-07-09,21.7195
2015-07-08,21.485
2015-07-07,21.836
2015-07-06,21.802
2015-07-02,21.8855
2015-07-01,21.8695
2015-06-30,21.7045
2015-06-29,21.493
2015-06-26,21.905
2015-06-25,22.005
2015-06-24,22.042
2015-06-23,22.2995
2015-06-22,21.8145
2015-06-19,21.746
2015-06-18,21.9695
2015-06-17,21.3905
2015-06-16,21.363
2015-06-15,21.1835
2015-06-12,21.496
2015-06-11,21.6485
2015-06-10,21.5385
2015-06-09,21.274
2015-06-08,21.175
2015-06-05,21.3475
2015-06-04,21.539
2015-06-03,21.8295
2015-06-02,21.5495
2015-06-01,21.546
2015-05-29,21.4615
2015-05-28,21.3285
2015-05-27,21.571
2015-05-26,21.2735
2015-05-22,21.3815
2015-05-21,21.5815
2015-05-20,21.193
2015-05-19,21.0855
2015-05-18,21.262
2015-05-15,21.3
2015-05-14,21.614
2015-05-13,21.3435
2015-05-12,21.551
2015-05-11,21.6425
2015-05-08,21.6845
2015-05-07,21.344
2015-05-06,20.955
2015-05-05,21.0595
2015-05-04,21.152
2015-05-01,21.1435
2015-04-30,21.089
2015-04-29,21.4685
2015-04-28,21.4655
2015-04-27,21.928
2015-04-24,22.255
2015-04-23,19.4995
2015-04-22,19.49
2015-04-21,19.559
2015-04-20,19.4755
2015-04-17,18.778
2015-04-16,19.302
2015-04-15,19.1725
2015-04-14,19.2555
2015-04-13,19.118
2015-04-10,19.1325
2015-04-09,19.177
2015-04-08,19.06
2015-04-07,18.7205
2015-04-06,18.852
2015-04-02,18.6125
2015-04-01,18.5128
2015-03-31,18.605
2015-03-30,18.7295
2015-03-27,18.528
2015-03-26,18.3675
2015-03-25,18.548
2015-03-24,18.7045
2015-03-23,18.7555
2015-03-20,18.9245
2015-03-19,18.662
2015-03-18,18.7568
2015-03-17,18.596
2015-03-16,18.6675
2015-03-13,18.529
2015-03-12,18.712
2015-03-11,18.3185
2015-03-10,18.4755
2015-03-09,18.928
2015-03-06,19.0045
2015-03-05,19.3915
2015-03-04,19.136
2015-03-03,19.2305
2015-03-02,19.2828
2015-02-27,19.008
2015-02-26,19.24
2015-02-25,19.2685
2015-02-24,18.9295
2015-02-23,19.007
2015-02-20,19.183
2015-02-19,18.9498
2015-02-18,18.6685
2015-02-17,18.7715
2015-02-13,19.0915
2015-02-12,18.8585
2015-02-11,18.757
2015-02-10,18.6498
2015-02-09,18.528
2015-02-06,18.714
2015-02-05,18.6945
2015-02-04,18.2375
2015-02-03,18.1775
2015-02-02,18.2235
2015-01-30,17.7265
2015-01-29,15.589
2015-01-28,15.1955
2015-01-27,15.3375
2015-01-26,15.483
2015-01-23,15.6195
2015-01-22,15.516
2015-01-21,14.8625
2015-01-20,14.472
2015-01-16,14.537
2015-01-15,14.3475
2015-01-14,14.6635
2015-01-13,14.737
2015-01-12,14.5705
2015-01-09,14.8465
2015-01-08,15.023
2015-01-07,14.921
2015-01-06,14.7645
2015-01-05,15.1095
2015-01-02,15.426
2014-12-31,15.5175
2014-12-30,15.515
2014-12-29,15.602
2014-12-26,15.4545
2014-12-24,15.1515
2014-12-23,15.3143
2014-12-22,15.327
2014-12-19,14.995
2014-12-18,14.8865
2014-12-17,14.944
2014-12-16,14.753
2014-12-15,15.3035
2014-12-12,15.366
2014-12-11,15.368
2014-12-10,15.292
2014-12-09,15.625
2014-12-08,15.332
2014-12-05,15.6315
2014-12-04,15.8465
2014-12-03,15.825
2014-12-02,16.3155
2014-12-01,16.3
2014-11-28,16.932
2014-11-26,16.6785
2014-11-25,16.752
2014-11-24,16.782
2014-11-21,16.6315
2014-11-20,16.527
2014-11-19,16.327
2014-11-18,16.2465
2014-11-17,16.1525
2014-11-14,16.391
2014-11-13,15.824
2014-11-12,15.5755
2014-11-11,15.6005
2014-11-10,15.2555
2014-11-07,14.993
2014-11-06,14.832
2014-11-05,14.826
2014-11-04,15.1405
2014-11-03,15.286
2014-10-31,15.273
2014-10-30,14.9535
2014-10-29,14.706
2014-10-28,14.706
2014-10-27,14.7795
2014-10-24,14.353
2014-10-23,14.353
2014-10-22,15.6485
2014-10-21,15.7665
2014-10-20,15.3105
2014-10-17,15.182
2014-10-16,15.143
2014-10-15,15.2985
2014-10-14,15.4155
2014-10-13,15.3225
2014-10-10,15.5695
2014-10-09,15.7685
2014-10-08,16.135
2014-10-07,15.849
2014-10-06,16.11
2014-10-03,16.137
2014-10-02,15.9205
2014-10-01,15.873
2014-09-30,16.122
2014-09-29,16.091
2014-09-26,16.1605
2014-09-25,16.0965
2014-09-24,16.4105
2014-09-23,16.1815
2014-09-22,16.225
2014-09-19,16.566
2014-09-18,16.25
2014-09-17,16.25
2014-09-16,16.388
2014-09-15,16.1945
2014-09-12,16.5595
2014-09-11,16.526
2014-09-10,16.5665
2014-09-09,16.4875
2014-09-08,17.117
2014-09-05,17.319
2014-09-04,17.2975
2014-09-03,16.95
2014-09-02,17.119
2014-09-01,17.119
2014-08-29,16.952
2014-08-28,17.001
2014-08-27,17.159
2014-08-26,17.0915
2014-08-25,16.701
2014-08-22,16.5795
2014-08-20,16.6455
2014-08-18,16.7565
2014-08-15,16.6815
2014-08-14,16.6605
2014-08-12,15.966
2014-08-11,15.9165
2014-08-08,15.84
2014-08-07,15.5725
2014-08-06,15.6945
2014-08-05,15.616
2014-08-04,15.6825
2014-08-01,15.353
2014-07-31,15.6495
2014-07-30,16.1255
2014-07-29,16.0
2014-07-28,16.0205
2014-07-25,16.2005
2014-07-24,17.9305
2014-07-23,17.907
2014-07-22,18.042
2014-07-21,17.988
2014-07-18,17.933
2014-07-17,17.6227
2014-07-16,17.795
2014-07-15,17.722
2014-07-14,17.766
2014-07-11,17.31
2014-07-10,16.396
2014-07-09,16.4985
2014-07-08,16.1905
2014-07-07,16.6775
2014-07-03,16.8746
2014-07-02,16.6425
2014-07-01,16.6195
2014-06-30,16.239
2014-06-27,16.2285
2014-06-26,16.2845
2014-06-25,16.372
2014-06-24,16.208
2014-06-23,16.362
2014-06-20,16.21
2014-06-19,16.35
2014-06-18,16.719
2014-06-17,16.281
2014-06-16,16.381
